hook,intent,production,funnel,effort,is_template,usability,usability_band,archetype,tier,om,om_pct,views,words,word_band,lang,main_category,subcategory,year,username,permalink
Do you want to make money playing video games?,PROVOKE,TEXT_ON_BROLL,REACH,1,True,95.0,top,question,high,120.0745805,0.9134,96600,9,6-10,en,Games,Action & Adventure,2023,ignitetournaments,https://www.tiktok.com/@ignitetournaments/video/7269907151877934382
"What do you think, out of all your films,",PROVOKE,TEXT_ON_BROLL,REACH,1,True,92.9,top,question,high,67.72908367,0.8748,3400000,9,6-10,en,Entertainment,Movie Recommendation Tools,2024,letterboxd,https://www.tiktok.com/@letterboxd/video/7444622219558325535
How-To: Make a Shared Calendar,PROVOKE,TEXT_ON_BROLL,REACH,1,True,92.3,top,question,high,58.74659401,0.8636,107800,5,3-5,en,Productivity,Meeting Schedulers,2021,timetreeapp,https://www.tiktok.com/@timetreeapp/video/7035376164965223682
"When someone asks me how I get to go to so many fun, free events",PROVE,TALKING_HEAD,CONVERT,2,True,92.0,top,outcome_proof,exceptional,666.6666667,0.9775,498000,15,11-26,en,Social Networking,Event-Based Networks,2023,meetup,https://www.tiktok.com/@meetup/video/7273855778086276395
This is how I used to edit,PROVE,TALKING_HEAD,CONVERT,2,True,91.7,top,outcome_proof,exceptional,551.8510002,0.9738,1200000,7,6-10,en,Photo & Video,Story Templates,2024,instoriesapp,https://www.tiktok.com/@instoriesapp/video/7333580747606936850
When someone asks me if I’m done applying to internships,PROVOKE,TALKING_HEAD,REACH,2,True,88.6,top,question,high,130.9245484,0.9181,123200,10,6-10,en,Education,Professional Development,2022,joinhandshake,https://www.tiktok.com/@joinhandshake/video/7130363266559413550
Do you want to go viral on Tiktok and get a free Speech Blubs subscription?,PROVOKE,TEXT_ON_BROLL,REACH,1,True,88.0,top,question,strong,27.88629506,0.7845,87800,15,11-26,en,Education,Early Childhood Learning,2022,speech_blubs,https://www.tiktok.com/@speech_blubs/video/7086765959087803654
How to make a velocity edit in 10 seconds?,TEACH,SCREEN_DEMO,NURTURE,3,True,86.6,top,demonstration,exceptional,11257.81793,0.9997,16200000,9,6-10,en,Photo & Video,Video Editing,2021,dizzi_app,https://www.tiktok.com/@dizzi_app/video/6997414526832397574
Do you want to open it? Yes No I Don't Care,PROVOKE,TALKING_HEAD,REACH,2,True,85.0,top,question,high,52.02572347,0.8527,323600,11,11-26,en,Entertainment,Fan Communities,2024,daze.chat,https://www.tiktok.com/@daze.chat/video/7433980052905430318
Do you want to speak English with an American accent?,PROVOKE,TEXT_ON_BROLL,REACH,1,True,84.5,top,question,strong,17.22802942,0.7174,44500,10,6-10,en,Education,Language Learning,2024,boldvoiceapp,https://www.tiktok.com/@boldvoiceapp/video/7439778650037194030
How to make A Bed Nest,TEACH,SCREEN_DEMO,NURTURE,3,True,84.4,top,demonstration,exceptional,353.5714286,0.9606,346500,6,6-10,en,Lifestyle,Home Decor & DIY,2024,lemon8.home,https://www.tiktok.com/@lemon8.home/photo/7438690604634082603
When someone asks me how my diet is going,PROVOKE,TALKING_HEAD,REACH,2,True,83.4,top,question,high,37.7968878,0.8204,92300,9,6-10,en,Food & Drink,Calorie Counters,2024,yazioapp,https://www.tiktok.com/@yazioapp/video/7429086933818592545
This is how I got aesthetic notes MY FAVORITE KILONOTES SETTINGS FOR IPAD DIGITAL NOTE-TAKING,PROVE,SCREEN_DEMO,CONVERT,3,True,83.3,top,outcome_proof,high,213.371266,0.9418,2100000,15,11-26,en,Education,Study Aids & Flashcards,2024,kilonotesapp,https://www.tiktok.com/@kilonotesapp/video/7361055115152837895
