hook,archetype,tier,om,om_pct,views,likes,comments,shares,words,word_band,lang,main_category,subcategory,year,username,permalink
My therapist told me to journal everyday but I feel like writing to a void and no one is ever listening to me,authority,exceptional,1152.532032,0.9875,944500,55900,365,1093,23,11-26,en,Social Networking,Anonymous Platforms,2023,sincerelyapp,https://www.tiktok.com/@sincerelyapp/video/7183881025108315434
"""When they say the doctor can come to your Airbnb/hotel room instead of you going to the clinic Shocked and impressed me:""",authority,exceptional,1084.500678,0.9863,1200000,1486,21,84,22,11-26,en,Travel,Travel Safety,2024,airdoctorapp,https://www.tiktok.com/@airdoctorapp/video/7451542858328214792
Specialist services abroad can be expensive... Dentist General Doctor Orthoped Pediatrician,authority,exceptional,994.1256213,0.9844,1100000,6680,69,599,11,11-26,en,Travel,Travel Safety,2024,airdoctorapp,https://www.tiktok.com/@airdoctorapp/video/7408157695586454801
ERV España Partners in Crime: ERGO Seguros de Viaje and Air Doctor,authority,exceptional,679.1685495,0.9779,751500,3112,11,79,12,11-26,es,Travel,Travel Safety,2023,airdoctorapp,https://www.tiktok.com/@airdoctorapp/video/7233787189212007682
AIR DOCTOR PRESENTS THE DIGITAL CARD THAT GIVES YOU PEACE OF MIND ABROAD. So you want to travel worry-free? 😊,authority,exceptional,553.4568459,0.9738,612400,582,1,16,20,11-26,en,Travel,Travel Safety,2023,airdoctorapp,https://www.tiktok.com/@airdoctorapp/video/7312010994920770818
Doctor: How many babies are you expecting? Mom: 'Yes.' 👶 20+,authority,exceptional,398.9361702,0.9645,2700000,19800,415,5138,11,11-26,en,Entertainment,Meme Generators,2024,cloneaiapp,https://www.tiktok.com/@cloneaiapp/video/7449359117765922055
Mit Air Doctor ganz einfach Ärzte am Urlaubsort finden 👩‍⚕️🔍🌴,authority,exceptional,329.9593312,0.9585,365100,12200,4,14,10,6-10,lb,Travel,Travel Safety,2023,airdoctorapp,https://www.tiktok.com/@airdoctorapp/video/7233002295489760513
"""When you have travel insurance and use the Air Doctor app. 💕""",authority,exceptional,319.1143244,0.9576,353100,387,4,4,12,11-26,en,Travel,Travel Safety,2023,airdoctorapp,https://www.tiktok.com/@airdoctorapp/video/7249385172896926978
This filter made my husband jealous after 20 years of marriage 🤯😳😱,authority,high,236.013986,0.9467,135000,382,4,14,12,11-26,en,Photo & Video,AR Filters,2024,glamapp.ai,https://www.tiktok.com/@glamapp.ai/video/7431210346767043882
"Yes, It Really Lets You Book a Doctor! I Promise! 🇬🇧👩‍⚕️",authority,high,207.953005,0.9404,230100,116,0,1,11,11-26,la,Travel,Travel Safety,2024,airdoctorapp,https://www.tiktok.com/@airdoctorapp/video/7405575473670950145
Just download the Air Doctor app.,authority,high,166.380479,0.9305,184100,16600,149,240,6,6-10,en,Travel,Travel Safety,2023,airdoctorapp,https://www.tiktok.com/@airdoctorapp/video/7210789423338769665
"""When you're lost, but Air Doctor knows the way... 🛬❤️""",authority,high,151.2878446,0.9258,167400,113,5,11,10,6-10,en,Travel,Travel Safety,2024,airdoctorapp,https://www.tiktok.com/@airdoctorapp/video/7412910985981218066
Faye ✋ Air Doctor Your trip is covered! Faye offers coverage and 24/7 customer service,authority,high,131.4053321,0.9183,145400,75,3,7,15,11-26,en,Travel,Travel Safety,2023,airdoctorapp,https://www.tiktok.com/@airdoctorapp/video/7302094224919481601
Proof Air Doctor is a must-have app for travelers 💕,authority,high,113.4206959,0.9098,125500,44,1,6,10,6-10,en,Travel,Travel Safety,2024,airdoctorapp,https://www.tiktok.com/@airdoctorapp/video/7428898049532923152
ADHD people finally going to the doctor after putting it off for years,authority,high,53.55871886,0.8563,752500,48700,258,12100,13,11-26,en,Health & Fitness,Chronic Condition Management,2025,inflow,https://www.tiktok.com/@inflow/video/7460555646581099808
I recently decided to come off of the pill after 14 years & I was worried my period wasn’t going to come back,authority,high,52.19150371,0.8531,116100,1541,0,10,23,11-26,en,Health & Fitness,Menstrual Cycle Trackers,2022,naturalcycles,https://www.tiktok.com/@naturalcycles/video/7052809785263000878
We've done 12 years of dating apps,authority,high,42.23123732,0.8331,208200,155,5,17,7,6-10,en,Social Networking,Event-Based Networks,2024,thursdaydating,https://www.tiktok.com/@thursdaydating/video/7385192415054875937
"I'm Kelly Matthews, a certified strength and conditioning coach",authority,high,34.47802198,0.8113,75300,488,41,309,9,6-10,en,Health & Fitness,Workout Trackers,2022,joinladder,https://www.tiktok.com/@joinladder/video/7150825352959511851
Practice your English. Making a doctor's appointment!,authority,strong,30.14465409,0.7943,479300,22000,69,622,7,6-10,en,Education,Language Learning,2024,fluentjoy_english,https://www.tiktok.com/@fluentjoy_english/video/7408400411301874952
"Occupational Therapist 🧠 📍Brisbane, Australia don't be a nurse",authority,strong,15.73770492,0.7032,1200000,69300,511,9014,9,6-10,en,Business,Job Search Platforms,2024,getahead.app,https://www.tiktok.com/@getahead.app/video/7447668321303923989
"""When you missed out on 2 years of a Lifetime ISA so I could've had an extra £2,000 in savings 😭""",authority,strong,12.25780941,0.6572,15500,201,2,12,21,11-26,en,Finance,Financial Literacy Tools,2023,tembomoney,https://www.tiktok.com/@tembomoney/video/7184020978953932037
"Not so sure about this new engineer we hired. I'm like ""you need to fix the backlog issues"" and he's always just like ""Vibe with me.""",authority,strong,9.669421488,0.6144,11700,540,6,1,26,11-26,en,Finance,Financial Literacy Tools,2022,joinfizz,https://www.tiktok.com/@joinfizz/video/7112871164812381486
"Mechanical Engineer 🛠 Melbourne, Australia I make 29 an hour",authority,strong,8.330491803,0.5873,635200,60000,220,2885,10,6-10,en,Business,Job Search Platforms,2024,getahead.app,https://www.tiktok.com/@getahead.app/video/7425705974691794196
"Humans Anonymous After 1 year of no contact, here are my thoughts:",authority,baseline,5.765100671,0.4989,85900,5496,62,86,12,11-26,en,Health & Fitness,Meditation & Mindfulness,2023,breakupsanonymous,https://www.tiktok.com/@breakupsanonymous/video/7230585367462743338
Teacher In my 10 years of teaching I've never had a note This bad from a substitute,authority,baseline,4.210526316,0.4095,13800,549,0,0,17,11-26,en,Productivity,Document Management,2023,camscanner.app,https://www.tiktok.com/@camscanner.app/video/7259270422934326571
Português Nurse Español Which language is the Odd One Out? Jobs Français Deutsch Italiano,authority,baseline,4.158940397,0.4046,62800,1984,49,37,14,11-26,la,Education,Language Learning,2025,babbel,https://www.tiktok.com/@babbel/video/7459415722440019243
Kaia Gerber and Austin Butler break up after 3 years...👀,authority,baseline,3.835133599,0.3777,6746,66,19,1,10,6-10,en,Photo & Video,Photo Editing,2025,facetune_by_lightricks,https://www.tiktok.com/@facetune_by_lightricks/video/7457326716139228417
It’s hard to believe after 2 years of studying a language I’m fluent now,authority,baseline,3.479525862,0.3456,3229,318,4,1,14,11-26,en,Education,Language Learning,2023,tandemapphq,https://www.tiktok.com/@tandemapphq/video/7239013769265892634
"Lawyer 📗 📍 Sydney, Australia I'm working 9 to 5 sort of thing",authority,baseline,3.13704918,0.307,239200,9002,105,240,13,11-26,en,Business,Job Search Platforms,2024,getahead.app,https://www.tiktok.com/@getahead.app/video/7431730184694287632
I'm a therapist of course,authority,baseline,2.985,0.2877,2985,43,5,30,5,3-5,en,Health & Fitness,Meditation & Mindfulness,2024,betterhelp,https://www.tiktok.com/@betterhelp/video/7351542846190652718
Meal Prep Tip Pre-Portion Soup this is one of my favourite meal prep tips as a dietitian,authority,baseline,2.577849117,0.228,1606,67,0,1,17,11-26,en,Health & Fitness,Diet & Nutrition,2023,cronometer_official,https://www.tiktok.com/@cronometer_official/video/7293907259459964166
"Enrolled Nurse 🤸‍♀️ 📍 Brisbane, Australia I mean that's nursing",authority,baseline,2.359344262,0.192,179900,4749,157,409,10,6-10,la,Business,Job Search Platforms,2024,getahead.app,https://www.tiktok.com/@getahead.app/video/7448773656248847633
"Shop our Bestsellers RO-Hi - Ultimate 5-Stage 90 GPD High Fast Flow Reverse Osmosis Water System Drinking Water, WQA Certified 152 Reviews $299.95 USD",authority,baseline,2.320754717,0.1853,36900,1011,29,235,24,11-26,en,Health & Fitness,Diet & Nutrition,2024,oasiswaterapp,https://www.tiktok.com/@oasiswaterapp/video/7390477007827504430
THANK YOU! NURSE APPRECIATION WEEK GIFT,authority,baseline,2.014862422,0.1295,5016,88,0,8,6,6-10,en,Photo & Video,Slideshow Creators,2023,chatbooks,https://www.tiktok.com/@chatbooks/video/7230822976344706350
DOCTOR VS. PLUMBER,authority,baseline,2.00625,0.1276,32100,2400,24,115,3,3-5,en,Finance,Financial Literacy Tools,2023,step,https://www.tiktok.com/@step/video/7268447325561867551
Taking a pic of my food to track calories because I'm a chill and cool guy,authority,baseline,1.854098361,0.0931,4524,62,5,4,16,11-26,en,Health & Fitness,Diet & Nutrition,2024,getcalai,https://www.tiktok.com/@getcalai/video/7439800572477279530
"AFTER 2 YEARS OF STUDYING, I JUST FOUND THIS... 😭",authority,baseline,1.802469136,0.083,1971,64,0,4,10,6-10,es,Productivity,Note-Taking,2024,chaton.app,https://www.tiktok.com/@chaton.app/video/7403383193690197278
Forgiveness reach out to your betterhelp therapist,authority,baseline,1.727,0.0664,1727,17,0,3,7,6-10,en,Health & Fitness,Meditation & Mindfulness,2024,betterhelp,https://www.tiktok.com/@betterhelp/video/7418668945353362719
Velocity edit Velocity Edit in 10 seconds,benefit_promise,exceptional,4239.054899,0.9976,6100000,110700,1184,448,7,6-10,en,Photo & Video,Video Editing,2021,dizzi_app,https://www.tiktok.com/@dizzi_app/video/6992893076096290054
Velocity Edit in 10 seconds Velocity edit,benefit_promise,exceptional,3127.171647,0.9965,4500000,119300,2052,428,7,6-10,en,Photo & Video,Video Editing,2021,dizzi_app,https://www.tiktok.com/@dizzi_app/video/6991772497930685701
AI Tools To Start a Business For FREE AI Tools To Start A Business Correction Grammarly Invoice Refrens Find AI Tools Insidr.ai,benefit_promise,exceptional,1304.347826,0.9894,1800000,71300,120,8632,22,11-26,en,Education,AI Study Tools,2023,insidr.ai,https://www.tiktok.com/@insidr.ai/video/7220692685428903173
The easiest way to create the 2024 vision board 🎀✨,benefit_promise,exceptional,733.0812854,0.9793,387800,2367,29,125,10,6-10,en,Photo & Video,Collage Makers,2024,collageableapp,https://www.tiktok.com/@collageableapp/video/7321227640499719430
The easiest way to make your Recap videos,benefit_promise,exceptional,624.8138958,0.9761,125900,659,3,18,8,6-10,en,Photo & Video,Video Editing,2023,reelshot.app,https://www.tiktok.com/@reelshot.app/video/7216703719210093830
Turn your photo into a Halloween video with Glam AI 💔💔💔,benefit_promise,exceptional,351.7482517,0.9604,201200,252,1,8,11,11-26,en,Photo & Video,AR Filters,2024,glamapp.ai,https://www.tiktok.com/@glamapp.ai/video/7428468255565548846
Turn your image into video 🔥,benefit_promise,high,247.7272727,0.9492,141700,168,0,13,6,6-10,en,Photo & Video,AR Filters,2024,glamapp.ai,https://www.tiktok.com/@glamapp.ai/video/7426081937925688618
Reels VIDEO IDEA for photographers in under 20 seconds MOJO A picture is worth a thousand words,benefit_promise,high,130.2636681,0.9179,671900,1314,12,120,17,11-26,en,Photo & Video,Video Editing,2023,mojo.app,https://www.tiktok.com/@mojo.app/video/7254185415979175210
1. International friends 2. Supportive community 3. Easiest way to improve your language skills for FREE,benefit_promise,high,113.7931034,0.9099,105600,739,22,8,16,11-26,en,Education,Language Learning,2022,tandemapphq,https://www.tiktok.com/@tandemapphq/video/7164421928667680006
I did this in PowerPoint in 50 seconds 😏,benefit_promise,high,101.5873016,0.9025,12800000,812800,935,37500,9,6-10,en,Education,Virtual Classrooms,2023,classpoint.io,https://www.tiktok.com/@classpoint.io/video/7272334636083105030
Me taking pictures of the board in class knowing fully well that I’ll never revisit those images again💀,benefit_promise,high,71.49416342,0.8789,9187,123,0,5,18,11-26,en,Education,AI Study Tools,2024,uknow.ai_official,https://www.tiktok.com/@uknow.ai_official/video/7436819705182342446
Me getting ready to scare scammers so they never call me again,benefit_promise,high,65.8652789,0.8722,449300,2910,38,31,12,11-26,en,Utilities,Network Tools,2024,surfshark,https://www.tiktok.com/@surfshark/video/7327658183965576480
Unleash your creativity for FREE with PicLumen!,benefit_promise,high,61.45966709,0.8671,48000,27,0,1,7,6-10,en,Photo & Video,Photo Editing,2024,piclumen,https://www.tiktok.com/@piclumen/video/7429228283339787562
The easiest way to make money using 2 AIs,benefit_promise,high,33.58445946,0.8087,994100,52400,429,9715,9,6-10,en,Photo & Video,Video Editing,2023,synthesia.ai,https://www.tiktok.com/@synthesia.ai/video/7195266448573402373
Me learning an Never have to go to lectures again,benefit_promise,strong,30.27127889,0.7952,210900,5904,29,83,10,6-10,en,Education,AI Study Tools,2023,picsolve,https://www.tiktok.com/@picsolve/video/7193145404303658286
Here is the easiest way to build your STUDENT RESUME.,benefit_promise,strong,27.17391304,0.7811,22500,710,11,27,10,6-10,en,Productivity,Resume Builders,2021,kickresume,https://www.tiktok.com/@kickresume/video/7001900126608313605
Then never use my v!br@t0r again!,benefit_promise,strong,25.32887868,0.7724,242600,8580,3,610,6,6-10,en,Lifestyle,Mindfulness & Self-Care,2023,girlsgetoff_hq,https://www.tiktok.com/@girlsgetoff_hq/video/7194994602296757506
iPad widgets for FREE,benefit_promise,strong,21.35835567,0.7473,119500,2437,64,22,4,3-5,en,Utilities,Custom Widgets,2021,screenkit.app,https://www.tiktok.com/@screenkit.app/video/7046815736798530818
Guess 5 logos and win Hiredly's 2023 Calendar FOR FREE! We're giving out FREE calendars~,benefit_promise,strong,16.93594922,0.7144,58700,714,2,23,15,11-26,en,Business,HR & Payroll,2022,hiredly.official,https://www.tiktok.com/@hiredly.official/video/7179921941204159770
Live for free in Italy,benefit_promise,strong,14.47212337,0.6877,54900,1567,40,145,5,3-5,en,Travel,Trip Journals,2022,skratchworld,https://www.tiktok.com/@skratchworld/video/7056313959476940037
Horse Analytics Download the App for free and get inspired by 200+ exercises! [Google Play logo] [App Store logo],benefit_promise,strong,14.26553672,0.6847,20200,799,8,8,19,11-26,en,Health & Fitness,Chronic Condition Management,2022,happiehorse_app,https://www.tiktok.com/@happiehorse_app/video/7099096936254426373
Our comment section every time we say LENGO✨ is for free,benefit_promise,strong,14.15797317,0.6832,1900000,5248,24,63,11,11-26,en,Education,Language Learning,2023,lengo.io,https://www.tiktok.com/@lengo.io/video/7213434795492134150
This is the fastest way to stand out at work ✅,benefit_promise,strong,10.03378378,0.6219,297000,16600,46,2735,11,11-26,en,Photo & Video,Video Editing,2023,synthesia.ai,https://www.tiktok.com/@synthesia.ai/video/7194516836933733638
Turn any boring blog post into viral videos in minutes,benefit_promise,strong,9.714828897,0.6155,5110,169,25,44,10,6-10,en,Photo & Video,Video Editing,2024,zebracat.ai,https://www.tiktok.com/@zebracat.ai/video/7435388802719321377
The easiest way to plan social media content 🧑‍💻,benefit_promise,strong,8.02027027,0.5792,237400,10600,57,1842,9,6-10,en,Photo & Video,Video Editing,2023,synthesia.ai,https://www.tiktok.com/@synthesia.ai/video/7202306507382295813
Horse Analytics Download the App for free and get inspired by 200+ exercises! Google Play Download on the App Store,benefit_promise,strong,7.556497175,0.5654,10700,582,5,12,20,11-26,en,Health & Fitness,Chronic Condition Management,2022,happiehorse_app,https://www.tiktok.com/@happiehorse_app/video/7111408350994140421
[Music] step foot VIRAL TRAVEL VIDEOS WITH AI @scenichunter Valletta Malta Highlights Explore Like a Local in 60 Seconds | #shorts,benefit_promise,strong,7.358490566,0.559,7995,137,6,10,21,11-26,it,Photo & Video,Video Editing,2024,invideoio,https://www.tiktok.com/@invideoio/video/7431274245994597638
It took me 9 months to change my FACE SHAPE and I'll teach you in 3 seconds 👏,benefit_promise,strong,7.211397767,0.5542,9364,132,2,7,18,11-26,en,Health & Fitness,Yoga & Pilates,2024,luvly.app,https://www.tiktok.com/@luvly.app/video/7380058852538010885
Chase Sapphire Reserved next please! This review was great! Replying to gwendosaurus HONEST REVIEW IN LESS THAN 90 SECONDS,benefit_promise,strong,7.059440559,0.5492,6057,120,5,7,19,11-26,en,Finance,Financial Literacy Tools,2024,nerdwallet,https://www.tiktok.com/@nerdwallet/video/7438765609963326750
Horse Analytics Download for free,benefit_promise,strong,7.018361582,0.5476,9938,380,2,2,5,3-5,en,Health & Fitness,Chronic Condition Management,2022,happiehorse_app,https://www.tiktok.com/@happiehorse_app/video/7092475576493034758
It took me 6 months to change my FACE SHAPE and I'll teach you in 3 seconds 👌,benefit_promise,strong,6.629957643,0.534,8609,97,0,18,18,11-26,en,Health & Fitness,Yoga & Pilates,2024,luvly.app,https://www.tiktok.com/@luvly.app/video/7436324862131506487
Wallpapers you will never see again,benefit_promise,strong,6.49352179,0.5294,551300,33500,337,3860,6,6-10,en,Entertainment,Fan Communities,2024,wallpiics,https://www.tiktok.com/@wallpiics/photo/7454248556380032278
BRAINLY+ for FREE,benefit_promise,strong,6.402254882,0.5259,63600,14700,2157,198,3,3-5,en,Education,Study Aids & Flashcards,2024,brainly,https://www.tiktok.com/@brainly/video/7374866842592005422
