hook,archetype,tier,om,om_pct,views,likes,comments,shares,words,word_band,lang,main_category,subcategory,year,username,permalink
finding friends on noplacelike this sound >>,other,exceptional,13694.95166,0.9998,25500000,236100,276,1547,7,6-10,en,Entertainment,Comedy Platforms,2024,thenoplace,https://www.tiktok.com/@thenoplace/video/7369253909304462622
My son is 2 years old and already knows ABC😍👏,other,exceptional,10258.85342,0.9995,32300000,116000,1237,13300,10,6-10,en,Education,Early Childhood Learning,2022,speech_blubs,https://www.tiktok.com/@speech_blubs/video/7153192258601340166
Bless you!,other,exceptional,8565.310493,0.9993,2000000,259100,333,424,2,0-2,en,Education,Language Learning,2022,chatterbug.app,https://www.tiktok.com/@chatterbug.app/video/7107245602458651909
Sip and Paint en Madrid,other,exceptional,8433.73494,0.9992,6300000,25000,31,634,5,3-5,en,Social Networking,Event-Based Networks,2023,meetup,https://www.tiktok.com/@meetup/video/7253076828879883563
No puedo creer que vio mi mensaje tan rápido 😂,other,exceptional,6576.402321,0.9988,13600000,821300,1235,40400,10,6-10,es,Photo & Video,Slideshow Creators,2024,dots.memories,https://www.tiktok.com/@dots.memories/video/7369299184085634337
THAT'S FIVE MONTHS!,other,exceptional,5693.950178,0.9985,7200000,31600,256,1200,3,3-5,en,Finance,Financial Literacy Tools,2023,tembomoney,https://www.tiktok.com/@tembomoney/video/7229284711795854619
The neighbor’s pitbulls stopped by to say hi 😍🐶,other,exceptional,5224.698575,0.9984,14300000,1200000,5830,32200,9,6-10,en,Social Networking,Video Communities,2023,nextdoor,https://www.tiktok.com/@nextdoor/video/7226065621249756459
First day as a housekeeper... I wasn’t ready for THIS 💀,other,exceptional,4506.501182,0.9981,30500000,463000,11800,108400,11,11-26,en,Entertainment,Meme Generators,2024,cloneaiapp,https://www.tiktok.com/@cloneaiapp/video/7447111273784806674
The world after the apocalypse,other,exceptional,4483.695652,0.9981,3300000,16800,148,123,5,3-5,en,Photo & Video,Meme Creators,2023,arta_app,https://www.tiktok.com/@arta_app/video/7194915228059028782
Caught my brother using AI for his interview 😱,other,exceptional,4430.970149,0.998,9500000,282200,1990,46200,9,6-10,en,Business,HR & Payroll,2024,finalroundai.com,https://www.tiktok.com/@finalroundai.com/video/7377093681989373230
